Alabama 852 543 64% 48 6% 260 31% 175 21% 308 36%
Alaska 51 34 66% 1 3% 15 30% 12 24% 16 32%
Arizona 849 574 68% 43 5% 219 26% 158 19% 262 31%
Arkansas 483 324 67% 34 7% 123 25% 89 18% 156 32%
California 3,000 1,963 65% 158 5% 867 29% 583 19% 1,025 34%
Colorado 481 309 64% 28 6% 142 30% 105 22% 170 35%
Connecticut 276 145 52% 17 6% 114 41% 74 27% 132 48%
Delaware 99 57 57% 4 4% 38 39% 27 27% 43 43%
Dist of Columbia 20 13 67% 0 2% 6 31% 4 19% 7 33%
Florida 2,407 1,607 67% 115 5% 676 28% 480 20% 790 33%
Georgia 1,179 824 70% 52 4% 297 25% 182 15% 349 30%
Hawaii 102 57 56% 12 12% 33 33% 21 20% 45 44%
Idaho 214 138 64% 15 7% 58 27% 41 19% 73 34%
Illinois 991 601 61% 67 7% 322 32% 227 23% 389 39%
Indiana 783 541 69% 43 6% 198 25% 143 18% 241 31%
Iowa 317 204 64% 10 3% 103 32% 75 24% 113 36%
Kansas 350 230 66% 18 5% 102 29% 74 21% 119 34%
Kentucky 638 444 70% 26 4% 167 26% 113 18% 193 30%
Louisiana 703 427 61% 39 5% 234 33% 148 21% 272 39%
Maine 145 91 63% 12 8% 42 29% 25 17% 54 37%
Maryland 465 289 62% 34 7% 141 30% 95 20% 175 38%
Massachusetts 326 179 55% 24 7% 118 36% 67 20% 142 44%
Michigan 947 638 67% 54 6% 255 27% 168 18% 309 33%
Minnesota 387 272 70% 20 5% 95 25% 74 19% 115 30%
Mississippi 613 372 61% 30 5% 210 34% 129 21% 240 39%
Missouri 757 468 62% 39 5% 248 33% 169 22% 287 38%
Montana 229 125 55% 12 5% 92 40% 67 29% 104 45%
Nebraska 211 136 65% 10 5% 60 28% 44 21% 70 33%
Nevada 262 168 64% 15 6% 79 30% 57 22% 94 36%
New Hampshire 135 83 61% 7 5% 46 34% 34 25% 52 39%
New Jersey 542 358 66% 38 7% 146 27% 93 17% 184 34%
New Mexico 310 192 62% 25 8% 93 30% 65 21% 118 38%
New York 1,199 756 63% 78 6% 364 30% 235 20% 442 37%
North Carolina 1,289 858 67% 57 4% 371 29% 247 19% 428 33%
North Dakota 148 73 49% 12 8% 62 42% 54 36% 73 49%
Ohio 989 664 67% 51 5% 271 27% 170 17% 322 33%
Oklahoma 678 472 70% 37 5% 170 25% 123 18% 206 30%
Oregon 313 189 61% 17 5% 105 33% 80 25% 122 39%
Pennsylvania 1,208 774 64% 64 5% 368 30% 258 21% 431 36%
Rhode Island 65 37 57% 4 6% 24 38% 18 28% 28 43%
South Carolina 767 379 49% 49 6% 335 44% 225 29% 384 50%
South Dakota 135 85 63% 7 5% 41 31% 34 25% 48 36%
Tennessee 995 666 67% 51 5% 277 28% 190 19% 327 33%
Texas 3,382 1,829 54% 213 6% 1,337 40% 896 26% 1,550 46%
Utah 220 175 79% 6 3% 38 17% 25 12% 44 20%
Vermont 69 45 66% 5 8% 18 27% 14 20% 24 34%
Virginia 740 435 59% 48 6% 254 34% 177 24% 302 41%
Washington 436 267 61% 20 4% 149 34% 94 21% 169 39%
West Virginia 332 220 66% 21 6% 91 27% 62 19% 112 34%
Wisconsin 543 329 61% 32 6% 178 33% 129 24% 210 39%
Wyoming 87 58 67% 4 5% 25 29% 18 21% 29 33%
National 32,719 20,713 63% 1,820 6% 10,076 31% 6,860 21% 11,896 36%
Puerto Rico 344 185 54% 31 9% 127 37% 75 22% 158 46%
