letter	frequency
Alpine	49.8
El Cajon	56.8
Harbison Crest/El Cajon	121.3
Jamul	42.3
La Mesa	189.5
Lakeside	110.7
Lemon Grove	144.9
Mountain Empire	48.9
Santee	42
Spring Valley	76.7
Del Mar-Mira Mesa	58.4
Elliott-Navajo	72.1
Kearny Mesa	8
Miramar	120.8
University	68.2
North Coastal Region	54.9
Carlsbad	75.8
Oceanside	18
Pendleton	71.6
San Dieguito	65.7
Vista	75
North Inland Region	157.7
Anza-Borrego Springs	90.8
Escondido	114.2
Fallbrook	53.5
North San Diego	239.3
Palomar-Julian	174.3
Pauma	24.3
Poway	91.8
Ramona	54.5
San Marcos	132.9
Valley Center	53.4
Chula Vista	97.2
Coronado	73.7
National City	40.8
South Bay	31
Sweetwater	9
